,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 55,55-59,60-64,65-69,70-74,75-79,80+
,E12000002,North West,E07000121,Lancaster," 19,081 "," 6,358 "," 7,642 "," 7,269 "," 7,732 "," 5,612 "," 7,695 "
,E12000002,North West,E08000012,Liverpool," 62,178 "," 18,295 "," 22,538 "," 20,269 "," 18,837 "," 12,492 "," 17,673 "
,E12000002,North West,E08000003,Manchester," 66,813 "," 14,405 "," 16,003 "," 14,401 "," 12,702 "," 8,493 "," 11,606 "
,E12000002,North West,E08000004,Oldham," 27,987 "," 8,262 "," 9,613 "," 9,789 "," 10,110 "," 7,256 "," 9,063 "
,E12000002,North West,E07000122,Pendle," 7,004 "," 2,259 "," 4,083 "," 4,082 "," 4,646 "," 3,125 "," 4,009 "
,E12000002,North West,E07000123,Preston," 17,651 "," 4,758 "," 6,241 "," 5,617 "," 5,418 "," 3,862 "," 5,655 "
,E12000002,North West,E07000124,Ribble Valley," 4,810 "," 2,253 "," 3,757 "," 3,625 "," 3,927 "," 2,974 "," 3,895 "
,E12000002,North West,E08000005,Rochdale," 26,052 "," 8,134 "," 9,872 "," 9,810 "," 9,745 "," 6,587 "," 8,188 "
,E12000002,North West,E07000125,Rossendale," 6,421 "," 2,336 "," 3,439 "," 3,359 "," 3,758 "," 2,515 "," 3,000 "
,E12000002,North West,E08000006,Salford," 36,155 "," 12,191 "," 10,931 "," 8,732 "," 9,369 "," 6,582 "," 9,017 "
,E12000002,North West,E08000014,Sefton," 32,825 "," 11,940 "," 15,944 "," 15,509 "," 15,632 "," 11,854 "," 18,051 "
,E12000002,North West,E07000031,South Lakeland," 10,914 "," 3,926 "," 6,521 "," 6,743 "," 7,692 "," 5,776 "," 7,919 "
,E12000002,North West,E07000126,South Ribble," 12,498 "," 4,686 "," 6,057 "," 5,898 "," 6,541 "," 4,630 "," 6,000 "
,E12000002,North West,E08000013,St. Helens," 26,449 "," 7,522 "," 9,974 "," 9,361 "," 10,095 "," 7,317 "," 9,178 "
,E12000002,North West,E08000007,Stockport," 34,804 "," 11,082 "," 14,332 "," 14,405 "," 15,139 "," 11,208 "," 16,382 "
,E12000002,North West,E08000008,Tameside," 25,334 "," 8,063 "," 10,323 "," 10,013 "," 10,863 "," 7,453 "," 9,005 "
,E12000002,North West,E08000009,Trafford," 31,511 "," 8,821 "," 10,809 "," 10,183 "," 10,327 "," 7,679 "," 11,487 "
,E12000002,North West,E06000007,Warrington," 24,465 "," 7,208 "," 10,077 "," 9,987 "," 10,376 "," 7,975 "," 10,273 "
,E12000002,North West,E07000127,West Lancashire," 12,611 "," 4,512 "," 6,520 "," 6,216 "," 6,823 "," 5,141 "," 6,546 "
,E12000002,North West,E08000010,Wigan," 38,428 "," 10,935 "," 14,846 "," 15,376 "," 17,549 "," 13,048 "," 14,375 "
,E12000002,North West,E08000015,Wirral," 39,219 "," 13,327 "," 16,894 "," 17,787 "," 18,312 "," 12,961 "," 18,461 "
,E12000002,North West,E07000128,Wyre," 14,641 "," 6,060 "," 7,368 "," 7,133 "," 8,089 "," 6,130 "," 8,376 "
,E12000008,South East,E07000223,Adur," 7,397 "," 2,329 "," 3,226 "," 3,301 "," 3,914 "," 3,000 "," 4,384 "
,E12000008,South East,E07000224,Arun," 16,467 "," 5,863 "," 9,292 "," 9,844 "," 12,086 "," 9,414 "," 13,460 "
,E12000008,South East,E07000105,Ashford," 13,874 "," 4,076 "," 6,126 "," 5,865 "," 7,024 "," 5,278 "," 6,524 "
,E12000008,South East,E07000084,Basingstoke and Deane," 18,721 "," 5,245 "," 8,887 "," 8,041 "," 8,651 "," 6,159 "," 7,905 "
,E12000008,South East,E06000036,Bracknell Forest," 11,658 "," 3,776 "," 5,043 "," 5,174 "," 4,760 "," 3,401 "," 4,624 "
,E12000008,South East,E06000043,Brighton and Hove," 31,608 "," 6,954 "," 11,033 "," 9,930 "," 9,685 "," 6,824 "," 10,095 "
