MSOA11CD,STP21CD
E02001181,E54000007
E02001182,E54000007
E02001183,E54000007
E02001184,E54000007
E02001185,E54000007
E02001186,E54000007
E02001187,E54000007
E02001188,E54000007
E02001189,E54000007
E02001190,E54000007
E02001191,E54000007
E02001192,E54000007
E02001193,E54000007
E02001194,E54000007
E02001195,E54000007
E02001196,E54000007
E02001197,E54000007
E02001198,E54000007
E02001199,E54000007
E02001200,E54000007
E02001201,E54000007
E02001202,E54000007
E02001203,E54000007
E02001204,E54000007
E02001205,E54000007
E02001206,E54000007
E02001207,E54000007
E02001208,E54000007
E02001209,E54000007
E02001210,E54000007
E02001211,E54000007
E02001212,E54000007
E02001213,E54000007
E02001214,E54000007
E02001215,E54000007
E02001216,E54000007
E02001217,E54000007
E02001218,E54000007
E02001219,E54000007
E02001220,E54000007
E02001221,E54000007
E02001222,E54000007
E02001223,E54000007
E02001224,E54000007
E02001225,E54000007
E02001226,E54000007
E02001227,E54000007
E02001228,E54000007
E02001229,E54000007
E02001230,E54000007
E02001231,E54000007
E02001232,E54000007
E02001233,E54000007
E02001234,E54000007
E02001235,E54000007
E02001236,E54000007
E02001237,E54000007
E02001238,E54000007
E02001239,E54000007
E02001240,E54000007
E02001241,E54000007
E02001242,E54000007
E02001243,E54000007
E02001244,E54000007
E02001245,E54000007
E02001246,E54000007
E02001247,E54000007
E02001248,E54000007
E02001249,E54000007
E02001250,E54000007
E02001251,E54000007
E02001252,E54000007
E02001253,E54000007
E02001254,E54000007
E02001255,E54000007
E02001256,E54000007
E02001257,E54000007
E02001258,E54000007
E02001259,E54000007
E02001260,E54000007
E02001261,E54000007
E02001262,E54000007
E02001263,E54000007
E02001264,E54000007
E02001265,E54000007
E02001266,E54000007
E02001267,E54000007
E02001268,E54000007
E02001269,E54000007
E02001270,E54000007
E02001271,E54000007
E02001272,E54000007
E02001273,E54000007
E02001274,E54000007
E02001275,E54000007
E02001276,E54000007
E02001277,E54000007
E02001278,E54000007
E02001279,E54000007
E02001280,E54000007
E02001281,E54000007
E02001282,E54000007
E02001283,E54000007
E02001284,E54000007
E02001285,E54000007
E02001286,E54000007
E02001287,E54000007
E02001288,E54000007
E02001289,E54000007
E02001290,E54000007
E02001291,E54000007
E02001292,E54000007
E02001293,E54000007
E02001294,E54000007
E02001295,E54000007
E02001296,E54000007
E02001297,E54000007
E02001298,E54000007
E02001299,E54000007
E02001300,E54000007
E02001301,E54000007
E02001302,E54000007
E02001303,E54000007
E02001304,E54000007
E02001305,E54000007
E02001306,E54000007
E02001307,E54000007
E02001308,E54000007
E02001309,E54000007
E02001310,E54000007
E02001311,E54000007
E02001312,E54000007
E02001313,E54000007
E02001314,E54000007
E02001315,E54000007
E02001316,E54000007
E02001317,E54000007
E02001318,E54000007
E02001319,E54000007
E02001320,E54000007
E02001321,E54000007
E02001322,E54000007
E02001323,E54000007
E02001324,E54000007
E02001325,E54000007
E02001326,E54000007
E02001327,E54000008
E02001328,E54000008
E02001329,E54000008
E02001330,E54000008
E02001331,E54000008
E02001332,E54000008
E02001333,E54000008
E02001334,E54000008
E02001335,E54000008
E02001336,E54000008
E02001337,E54000008
E02001338,E54000008
E02001339,E54000008
E02001340,E54000008
E02001341,E54000008
E02001342,E54000008
E02001343,E54000008
E02001344,E54000008
E02001345,E54000008
E02001346,E54000008
E02001347,E54000008
E02001348,E54000008
E02001349,E54000008
E02001350,E54000008
E02001351,E54000008
E02001352,E54000008
E02001353,E54000008
E02001354,E54000008
E02001355,E54000008
E02001356,E54000008
E02001357,E54000008
E02001358,E54000008
E02001359,E54000008
E02001360,E54000008
E02001361,E54000008
E02001362,E54000008
E02001363,E54000008
E02001364,E54000008
E02001365,E54000008
E02001366,E54000008
E02001367,E54000008
E02001368,E54000008
E02001369,E54000008
E02001370,E54000008
E02001371,E54000008
E02001372,E54000008
E02001373,E54000008
E02001374,E54000008
E02001375,E54000008
E02001376,E54000008
E02001377,E54000008
E02001378,E54000008
E02001380,E54000008
E02001381,E54000008
E02001382,E54000008
E02001383,E54000008
E02001384,E54000008
E02001385,E54000008
E02001386,E54000008
E02001387,E54000008
E02001388,E54000008
E02001389,E54000008
E02001390,E54000008
E02001391,E54000008
E02001392,E54000008
E02001393,E54000008
E02001394,E54000008
E02001395,E54000008
E02001396,E54000008
E02001397,E54000008
E02001398,E54000008
E02001399,E54000008
E02001400,E54000008
E02001401,E54000008
E02001402,E54000008
E02001403,E54000008
E02001404,E54000008
E02001405,E54000008
E02001406,E54000008
E02001407,E54000008
E02001408,E54000008
E02001409,E54000008
E02001410,E54000008
E02001411,E54000008
E02001412,E54000008
E02001413,E54000008
E02001414,E54000008
E02001415,E54000008
E02001416,E54000008
E02001417,E54000008
E02001418,E54000008
E02001419,E54000008
E02001420,E54000008
E02001421,E54000008
E02001422,E54000008
E02001423,E54000008
E02001424,E54000008
E02001425,E54000008
E02001426,E54000008
E02001427,E54000008
E02001428,E54000008
E02001429,E54000008
E02001430,E54000008
